seed,model_variant,threshold_min,group,n_clinical_R1,n_geo_realizations,n_unique_origins,fnr,C,J,J_ind,E,D,joint_event_count,constrained_event_count
45,reweighing,45.0,1,35,3500,3327,0.22857142857142856,0.05028571428571429,0.010857142857142857,0.011493877551020408,-0.0006367346938775508,-0.013332786347226788,38,176
45,reweighing,45.0,ALL,42,4200,3958,0.19047619047619047,0.05071428571428571,0.009047619047619047,0.00965986394557823,-0.0006122448979591823,-0.012717387848535905,38,213
45,reweighing,60.0,0,7,700,699,0.0,0.02,0.0,0.0,0.0,0.0,0,14
45,reweighing,60.0,1,35,3500,3327,0.22857142857142856,0.022,0.005714285714285714,0.005028571428571428,0.000685714285714286,0.031869970520277235,20,77
45,reweighing,60.0,ALL,42,4200,3958,0.19047619047619047,0.021666666666666667,0.004761904761904762,0.0041269841269841265,0.0006349206349206358,0.029953011213658565,20,91
45,reweighing,90.0,0,7,700,699,0.0,0.002857142857142857,0.0,0.0,0.0,0.0,0,2
45,reweighing,90.0,1,35,3500,3327,0.22857142857142856,0.002285714285714286,0.0008571428571428571,0.0005224489795918368,0.0003346938775510203,0.14676403207331043,3,8
45,reweighing,90.0,ALL,42,4200,3958,0.19047619047619047,0.002380952380952381,0.0007142857142857143,0.00045351473922902497,0.0002607709750566893,0.10978520286396179,3,10
45,post_processing,30.0,0,7,700,699,0.14285714285714285,0.13142857142857142,0.02,0.018775510204081632,0.0012244897959183682,0.010726544622425643,14,92
45,post_processing,30.0,1,35,3500,3327,0.22857142857142856,0.15285714285714286,0.03485714285714286,0.03493877551020408,-8.16326530612213e-05,-0.0006304077161904675,122,535
45,post_processing,30.0,ALL,42,4200,3958,0.21428571428571427,0.1492857142857143,0.03238095238095238,0.03198979591836735,0.00039115646258502945,0.003079984519729989,136,627
45,post_processing,45.0,0,7,700,699,0.14285714285714285,0.05285714285714286,0.007142857142857143,0.007551020408163266,-0.000408163265306123,-0.0081529493294199,5,37
45,post_processing,45.0,1,35,3500,3327,0.22857142857142856,0.05028571428571429,0.011428571428571429,0.011493877551020408,-6.530612244897913e-05,-0.001367465266382234,40,176
45,post_processing,45.0,ALL,42,4200,3958,0.21428571428571427,0.05071428571428571,0.010714285714285714,0.010867346938775509,-0.00015306122448979428,-0.003179346962133983,45,213
45,post_processing,60.0,0,7,700,699,0.14285714285714285,0.02,0.002857142857142857,0.002857142857142857,0.0,0.0,2,14
45,post_processing,60.0,1,35,3500,3327,0.22857142857142856,0.022,0.006,0.005028571428571428,0.0009714285714285719,0.04514912490372611,21,77
45,post_processing,60.0,ALL,42,4200,3958,0.21428571428571427,0.021666666666666667,0.0054761904761904765,0.004642857142857143,0.0008333333333333335,0.03931332721792688,23,91
45,post_processing,90.0,0,7,700,699,0.14285714285714285,0.002857142857142857,0.0,0.0004081632653061224,-0.0004081632653061224,-0.14326647564469913,0,2
45,post_processing,90.0,1,35,3500,3327,0.22857142857142856,0.002285714285714286,0.0008571428571428571,0.0005224489795918368,0.0003346938775510203,0.14676403207331043,3,8
45,post_processing,90.0,ALL,42,4200,3958,0.21428571428571427,0.002380952380952381,0.0007142857142857143,0.0005102040816326531,0.00020408163265306118,0.08591885441527444,3,10
46,none,30.0,0,9,900,887,0.3333333333333333,0.15555555555555556,0.052222222222222225,0.05185185185185185,0.00037037037037037507,0.002819548872180444,47,140
46,none,30.0,1,33,3300,3147,0.21212121212121213,0.15696969696969698,0.032424242424242425,0.03329660238751148,-0.0008723599632690579,-0.006592296311922485,107,518
46,none,30.0,ALL,42,4200,3950,0.23809523809523808,0.15666666666666668,0.03666666666666667,0.0373015873015873,-0.000634920634920634,-0.004805555221836427,154,658
46,none,45.0,0,9,900,887,0.3333333333333333,0.06222222222222222,0.023333333333333334,0.02074074074074074,0.0025925925925925943,0.04443127962085308,21,56
46,none,45.0,1,33,3300,3147,0.21212121212121213,0.05606060606060606,0.009393939393939394,0.011891643709825529,-0.002497704315886135,-0.047199687649125854,31,185
46,none,45.0,ALL,42,4200,3950,0.23809523809523808,0.05738095238095238,0.012380952380952381,0.013662131519274376,-0.0012811791383219948,-0.023686772823934943,52,241
46,none,60.0,0,9,900,887,0.3333333333333333,0.027777777777777776,0.01,0.009259259259259259,0.0007407407407407415,0.027428571428571413,9,25
46,none,60.0,1,33,3300,3147,0.21212121212121213,0.03090909090909091,0.005454545454545455,0.006556473829201102,-0.001101928374655647,-0.03678769819372402,18,102
46,none,60.0,ALL,42,4200,3950,0.23809523809523808,0.030238095238095238,0.0064285714285714285,0.00719954648526077,-0.0007709750566893417,-0.026291827688001063,27,127
46,none,90.0,0,9,900,887,0.3333333333333333,0.0077777777777777776,0.0022222222222222222,0.0025925925925925925,-0.0003703703703703703,-0.04799232122860342,2,7
46,none,90.0,1,33,3300,3147,0.21212121212121213,0.00787878787878788,0.0012121212121212121,0.0016712580348943987,-0.00045913682277318657,-0.05873784126685774,4,26
46,none,90.0,ALL,42,4200,3950,0.23809523809523808,0.007857142857142858,0.0014285714285714286,0.0018707482993197278,-0.00044217687074829927,-0.05672273490848004,6,33
46,reweighing,30.0,0,9,900,887,0.3333333333333333,0.15555555555555556,0.052222222222222225,0.05185185185185185,0.00037037037037037507,0.002819548872180444,47,140
