seed,model_variant,threshold_min,delta_fnr_0_minus_1,delta_C_0_minus_1,delta_J_0_minus_1,delta_E_0_minus_1
65,none,60.0,0.18378378378378382,-0.0035135135135134984,0.0011351351351351997,-0.0017808619430242
65,none,90.0,0.18378378378378382,-0.0048648648648648,-0.001081081081081,-2.9218407596786093e-05
65,post_processing,30.0,0.23783783783783793,0.0028108108108108043,0.0455135135135136,0.008906355003652298
65,post_processing,45.0,0.23783783783783793,-0.010054054054054004,0.0190810810810811,0.0102466033601169
65,post_processing,60.0,0.23783783783783793,-0.0035135135135134984,0.0024864864864865,-0.001700511322133
65,post_processing,90.0,0.23783783783783793,-0.0048648648648648,-0.0008108108108108,-2.1913805697589407e-05
65,reweighing,30.0,0.21081081081081082,0.0028108108108108043,0.041459459459459495,0.0088844411979547
65,reweighing,45.0,0.21081081081081082,-0.010054054054054004,0.0171891891891892,0.0098156318480643
65,reweighing,60.0,0.21081081081081082,-0.0035135135135134984,0.0019459459459460005,-0.0016055514974434
65,reweighing,90.0,0.21081081081081082,-0.0048648648648648,-0.0008108108108108,0.0001095690284879
66,none,30.0,0.318918918918919,0.002270270270270297,0.042918918918919,-0.0025516435354273
