model_variant,threshold_min,group,metric,mean,ci_low,ci_high,n_seeds
reweighing,60.0,ALL,E,-0.00010449735449735291,-0.0004059571050642336,0.00019391534391533636,30
reweighing,90.0,0,fnr,0.22511294261294262,0.17132142857142854,0.27956369556369554,30
reweighing,90.0,0,C,0.003090964590964577,0.0023010617623117524,0.004035662647537633,30
reweighing,90.0,0,J,0.00043465608465608,0.00016784060846560718,0.0007258068783068677,30
reweighing,90.0,0,J_ind,0.0006645773488371034,0.0004297858790239604,0.0009235642138027922,30
reweighing,90.0,0,E,-0.00022992126418102334,-0.0004923510612697005,1.8558369647806214e-05,30
reweighing,90.0,1,fnr,0.2283807675020176,0.20462436895099434,0.2528471020378298,30
reweighing,90.0,1,C,0.0036996012637819926,0.003266068733290329,0.0041895123524432615,30
reweighing,90.0,1,J,0.0008522016067180932,0.0006645811370907761,0.0010362902201687188,30
reweighing,90.0,1,J_ind,0.0008506688092453466,0.0007096297238175625,0.0010027910147922777,30
reweighing,90.0,1,E,1.5327974727451464e-06,-0.00014165102065472537,0.00014123765876792875,30
reweighing,90.0,ALL,fnr,0.2293650793650793,0.2095238095238095,0.24920634920634918,30
reweighing,90.0,ALL,C,0.0035793650793650234,0.0031507936507936,0.004055753968253913,30
reweighing,90.0,ALL,J,0.0007777777777777365,0.000610912698412651,0.0009444444444444001,30
reweighing,90.0,ALL,J_ind,0.0008291761148903501,0.00070483749055172,0.0009643093348449919,30
reweighing,90.0,ALL,E,-5.1398337112614006e-05,-0.00017160808767950045,6.954837490551399e-05,30
