seed,threshold_min,scenario,fnr,C,J,joint_event_count,n_geo_realizations,n_repaired_cases
65,30.0,S3,0.21428571428571427,0.07238095238095238,0.016666666666666666,70,4200,1
65,60.0,S0,0.23809523809523808,0.023095238095238096,0.005,21,4200,1
65,60.0,S1,0.21428571428571427,0.023095238095238096,0.004523809523809524,19,4200,1
65,60.0,S2,0.23809523809523808,0.007142857142857143,0.0014285714285714286,6,4200,1
65,60.0,S3,0.21428571428571427,0.007142857142857143,0.0014285714285714286,6,4200,1
66,30.0,S0,0.11904761904761904,0.14,0.01619047619047619,68,4200,2
66,30.0,S1,0.07142857142857142,0.14,0.009761904761904762,41,4200,2
66,30.0,S2,0.11904761904761904,0.06666666666666667,0.008809523809523809,37,4200,2
66,30.0,S3,0.07142857142857142,0.06666666666666667,0.004523809523809524,19,4200,2
66,60.0,S0,0.11904761904761904,0.017857142857142856,0.002619047619047619,11,4200,2
66,60.0,S1,0.07142857142857142,0.017857142857142856,0.0016666666666666668,7,4200,2
66,60.0,S2,0.11904761904761904,0.0054761904761904765,0.0014285714285714286,6,4200,2
66,60.0,S3,0.07142857142857142,0.0054761904761904765,0.0009523809523809524,4,4200,2
67,30.0,S0,0.23809523809523808,0.145,0.03404761904761905,143,4200,0
67,30.0,S1,0.23809523809523808,0.145,0.03404761904761905,143,4200,0
67,30.0,S2,0.23809523809523808,0.06714285714285714,0.016666666666666666,70,4200,0
67,30.0,S3,0.23809523809523808,0.06714285714285714,0.016666666666666666,70,4200,0
67,60.0,S0,0.23809523809523808,0.02,0.004761904761904762,20,4200,0
67,60.0,S1,0.23809523809523808,0.02,0.004761904761904762,20,4200,0
67,60.0,S2,0.23809523809523808,0.007857142857142858,0.0019047619047619048,8,4200,0
67,60.0,S3,0.23809523809523808,0.007857142857142858,0.0019047619047619048,8,4200,0
68,30.0,S0,0.2619047619047619,0.14761904761904762,0.03880952380952381,163,4200,2
68,30.0,S1,0.21428571428571427,0.14761904761904762,0.030952380952380953,130,4200,2
68,30.0,S2,0.2619047619047619,0.07261904761904762,0.017619047619047618,74,4200,2
68,30.0,S3,0.21428571428571427,0.07261904761904762,0.01380952380952381,58,4200,2
68,60.0,S0,0.2619047619047619,0.026904761904761904,0.005714285714285714,24,4200,2
68,60.0,S1,0.21428571428571427,0.026904761904761904,0.004285714285714286,18,4200,2
68,60.0,S2,0.2619047619047619,0.009523809523809525,0.0019047619047619048,8,4200,2
68,60.0,S3,0.21428571428571427,0.009523809523809525,0.0014285714285714286,6,4200,2
69,30.0,S0,0.2857142857142857,0.14904761904761904,0.04047619047619048,170,4200,1
69,30.0,S1,0.2619047619047619,0.14904761904761904,0.03761904761904762,158,4200,1
69,30.0,S2,0.2857142857142857,0.07666666666666666,0.02142857142857143,90,4200,1
69,30.0,S3,0.2619047619047619,0.07666666666666666,0.019285714285714285,81,4200,1
69,60.0,S0,0.2857142857142857,0.024285714285714285,0.0064285714285714285,27,4200,1
69,60.0,S1,0.2619047619047619,0.024285714285714285,0.0054761904761904765,23,4200,1
69,60.0,S2,0.2857142857142857,0.007619047619047619,0.002380952380952381,10,4200,1
69,60.0,S3,0.2619047619047619,0.007619047619047619,0.002380952380952381,10,4200,1
70,30.0,S0,0.14285714285714285,0.1488095238095238,0.02142857142857143,90,4200,3
70,30.0,S1,0.07142857142857142,0.1488095238095238,0.010476190476190476,44,4200,3
70,30.0,S2,0.14285714285714285,0.07428571428571429,0.010238095238095239,43,4200,3
70,30.0,S3,0.07142857142857142,0.07428571428571429,0.005238095238095238,22,4200,3
70,60.0,S0,0.14285714285714285,0.017380952380952382,0.0030952380952380953,13,4200,3
70,60.0,S1,0.07142857142857142,0.017380952380952382,0.0016666666666666668,7,4200,3
70,60.0,S2,0.14285714285714285,0.006904761904761905,0.0009523809523809524,4,4200,3
70,60.0,S3,0.07142857142857142,0.006904761904761905,0.0009523809523809524,4,4200,3
71,30.0,S0,0.21428571428571427,0.1492857142857143,0.02976190476190476,125,4200,0
71,30.0,S1,0.21428571428571427,0.1492857142857143,0.02976190476190476,125,4200,0
71,30.0,S2,0.21428571428571427,0.07595238095238095,0.017619047619047618,74,4200,0
71,30.0,S3,0.21428571428571427,0.07595238095238095,0.017619047619047618,74,4200,0
71,60.0,S0,0.21428571428571427,0.024523809523809524,0.004047619047619047,17,4200,0
71,60.0,S1,0.21428571428571427,0.024523809523809524,0.004047619047619047,17,4200,0
71,60.0,S2,0.21428571428571427,0.006666666666666667,0.0007142857142857143,3,4200,0
71,60.0,S3,0.21428571428571427,0.006666666666666667,0.0007142857142857143,3,4200,0
